Response ID, Timeline Used Value, Timeline Used Value Decrypted, Timeline Type (TimelinesUsed), Timeline Type (User Entry), First Click Time (Seconds), Last Click Time (Seconds), Time Between First and Last Click (Seconds), Question, Video Name, Their Answer, Correct Answer, Is Correct, Time Viewing Footage
151551396, 70821, 1453, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 67, 137, 70, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, Car 1, Car 1, True, Never
151551396, 70821, 1453, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 67, 137, 70, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Never
151551396, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 59, 242, 183, Task: How long do these two people stay in the building?, VIRAT_S_0100, I could not find the answer within five minutes., Less than two minutes, False, Never
151551396, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 59, 242, 183, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, I could not find the answer within five minutes., 48:20 – 48:30, False, Never
151551396, 69513, 145, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 46, 107, 61, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Never
151551396, 69513, 145, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 46, 107, 61, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Never
151551396, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 65, 156, 91, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, About six minutes, About six minutes, True, Never
151551396, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 65, 156, 91, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, 50:00 – 51:00, 50:00 – 51:00, True, Never
151551396, 83900, 14532, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 115, 171, 56, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 2:1:3, 2:1:3, True, Never
151551396, 83900, 14532, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 115, 171, 56, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Never
151490610, 69689, 321, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 26, 65, 39, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, I could not find the answer within five minutes., Car 1, False, Never
151490610, 69689, 321, Timeline 1 (Base Interface), Timeline 1 (Base Interface), 26, 65, 39, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, I could not find the answer within five minutes., 43:00 – 45:00, False, Never
151490610, 69400, 32, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 57, 140, 83, Task: How long do these two people stay in the building?, VIRAT_S_0100, Less than two minutes, Less than two minutes, True, Never
151490610, 69400, 32, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 57, 140, 83, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0100, 48:20 – 48:30, 48:20 – 48:30, True, Never
151490610, 72583, 3215, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 48, 109, 61, Task: How long does this CHICANO employee take a break for?, VIRAT_S_0102, About four minutes, About four minutes, True, Never
151490610, 72583, 3215, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), 48, 109, 61, Task: During which timeframe does the owner of this golf cart return and drive away?, VIRAT_S_0102, 22:00 – 23:00, 22:00 – 23:00, True, Never
151490610, 101522, 32154, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 55, 142, 87, Task: How long does the blue pickup truck remain parked after two men in white shirts begin unloading objects from the trunk of the blue pickup truck?, VIRAT_S_0400, About six minutes, About six minutes, True, Never
151490610, 101522, 32154, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), 55, 142, 87, Task: During which timeframe does a couple run across the screen starting from this house carrying a pizza?, VIRAT_S_0400, 50:00 – 51:00, 50:00 – 51:00, True, Never
151490610, 69371, 3, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 54, 187, 133, Task: Order the following three events: - A person carrying a backpack rode a bike on the pedestrian sidewalk.:A person wearing pants ran to catch the green light while crossing the street.:A construction worker waved their hands to their colleagues., VIRAT_S_0500, 3:2:1, 2:1:3, False, Never
151490610, 69371, 3, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 54, 187, 133, Task: What is the object unloaded from the white truck with a flatboard trailer?, VIRAT_S_0500, A slow-down sign, A slow-down sign, True, Never
151490592, 69410, 42, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 76, 221, 145, Task: The driver of this car gets out of the car and has a conversation with another person.What is the car that the other person gets into later?, VIRAT_S_0002, I could not find the answer within five minutes., Car 1, False, Never
151490592, 69410, 42, Timeline 2 (Density Graph), Timeline 2 (Density Graph), 76, 221, 145, Task: During which timeframe do you see this man unloading a blue shoulder bag from his car?, VIRAT_S_0002, 43:00 – 45:00, 43:00 – 45:00, True, Never
151490592, 69791, 423, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), 19, 61, 42, Task: How long do these two people stay in the building?, VIRAT_S_0100, I could not find the answer within five minutes., Less than two minutes, False, Never
